DiscountID,ProductID,DiscountType,DiscountValue,StartDate,EndDate,MinimumPurchase,MaximumDiscount,ActiveFlag,CreatedDate
D001,P012,Flat,25,2/1/2024,3/31/2024,635,4328,No,1/16/2024
D002,P020,Flat,9,2/1/2024,3/31/2024,4006,2321,No,1/17/2024
D003,P024,Percentage,18,2/1/2024,3/31/2024,2573,4913,No,1/18/2024
D004,P012,Flat,8,2/1/2024,3/31/2024,1222,867,No,1/19/2024
D005,P022,Flat,30,2/1/2024,3/31/2024,4571,3677,Yes,1/20/2024
D006,P014,Flat,14,2/1/2024,3/31/2024,2080,504,Yes,1/21/2024
D007,P039,Percentage,15,2/1/2024,3/31/2024,2224,2217,Yes,1/22/2024
D008,P035,Flat,26,2/1/2024,3/31/2024,4572,4690,No,1/23/2024
D009,P002,Percentage,6,2/1/2024,3/31/2024,3053,1026,Yes,1/24/2024
D010,P040,Flat,12,2/1/2024,3/31/2024,1780,4108,Yes,1/25/2024
D011,P024,Flat,17,2/1/2024,3/31/2024,3804,2930,No,1/26/2024
D012,P013,Percentage,27,2/1/2024,3/31/2024,4490,4818,Yes,1/27/2024
D013,P028,Percentage,9,2/1/2024,3/31/2024,1860,480,Yes,1/28/2024
D014,P043,Flat,6,2/1/2024,3/31/2024,2597,837,No,1/29/2024
D015,P043,Flat,19,2/1/2024,3/31/2024,4251,2962,No,1/30/2024
D016,P036,Percentage,10,2/1/2024,3/31/2024,1967,1715,Yes,1/31/2024
D017,P027,Flat,27,2/1/2024,3/31/2024,3185,3672,Yes,2/1/2024
D018,P024,Flat,5,2/1/2024,3/31/2024,3622,1312,Yes,2/2/2024
D019,P043,Percentage,8,2/1/2024,3/31/2024,4543,3274,No,2/3/2024
D020,P047,Flat,16,2/1/2024,3/31/2024,4204,2893,Yes,2/4/2024
D021,P008,Flat,5,2/1/2024,3/31/2024,3048,3749,Yes,2/5/2024
D022,P017,Percentage,8,2/1/2024,3/31/2024,1049,1610,No,2/6/2024
D023,P026,Percentage,8,2/1/2024,3/31/2024,1092,439,No,2/7/2024
D024,P014,Percentage,23,2/1/2024,3/31/2024,2094,667,Yes,2/8/2024
D025,P005,Percentage,26,2/1/2024,3/31/2024,2804,1488,Yes,2/9/2024
D026,P022,Percentage,23,2/1/2024,3/31/2024,1749,4338,No,2/10/2024
D027,P008,Percentage,21,2/1/2024,3/31/2024,3850,2993,No,2/11/2024
D028,P037,Flat,5,2/1/2024,3/31/2024,3582,2054,No,2/12/2024
D029,P034,Percentage,28,2/1/2024,3/31/2024,1486,1728,No,2/13/2024
D030,P019,Percentage,28,2/1/2024,3/31/2024,4117,3409,No,2/14/2024
D031,P024,Percentage,5,2/1/2024,3/31/2024,3521,3823,No,2/15/2024
D032,P006,Percentage,20,2/1/2024,3/31/2024,1377,2667,No,2/16/2024
D033,P017,Percentage,29,2/1/2024,3/31/2024,3462,3478,Yes,2/17/2024
D034,P045,Flat,19,2/1/2024,3/31/2024,1593,1769,No,2/18/2024
D035,P035,Percentage,28,2/1/2024,3/31/2024,1560,3458,No,2/19/2024
D036,P007,Flat,12,2/1/2024,3/31/2024,2904,2481,No,2/20/2024
D037,P039,Percentage,25,2/1/2024,3/31/2024,2241,1697,No,2/21/2024
D038,P019,Flat,17,2/1/2024,3/31/2024,2697,308,Yes,2/22/2024
D039,P041,Flat,20,2/1/2024,3/31/2024,1090,1218,Yes,2/23/2024
D040,P039,Flat,5,2/1/2024,3/31/2024,4061,2741,No,2/24/2024
D041,P035,Flat,30,2/1/2024,3/31/2024,674,2994,No,2/25/2024
D042,P022,Percentage,15,2/1/2024,3/31/2024,889,392,Yes,2/26/2024
D043,P021,Flat,5,2/1/2024,3/31/2024,1369,3270,Yes,2/27/2024
D044,P046,Percentage,11,2/1/2024,3/31/2024,1230,4259,No,2/28/2024
D045,P020,Percentage,24,2/1/2024,3/31/2024,1993,2761,Yes,2/29/2024
D046,P047,Percentage,25,2/1/2024,3/31/2024,2327,3772,Yes,3/1/2024
D047,P031,Flat,19,2/1/2024,3/31/2024,4704,3763,No,3/2/2024
D048,P001,Percentage,26,2/1/2024,3/31/2024,4512,793,No,3/3/2024
D049,P037,Percentage,11,2/1/2024,3/31/2024,1747,1684,Yes,3/4/2024
D050,P008,Flat,13,2/1/2024,3/31/2024,2129,4952,No,3/5/2024
