SaleID,OrderID,ProductID,Quantity,UnitPrice,DiscountAmount,TaxAmount,TotalAmount,SaleDate,SalesChannel
S001,O001,P013,5,13532,3865,1353,65148,2/2/2024,Store
S002,O002,P050,1,43597,2598,4359,45358,2/3/2024,Store
S003,O003,P023,2,25850,591,2585,53694,2/4/2024,Store
S004,O004,P002,2,685,2710,68,-1272,2/5/2024,Online
S005,O005,P031,2,32555,598,3255,67767,2/6/2024,Online
S006,O006,P034,5,65587,718,6558,333775,2/7/2024,Store
S007,O007,P008,4,55080,430,5508,225398,2/8/2024,Online
S008,O008,P041,5,8863,3839,886,41362,2/9/2024,Online
S009,O009,P007,5,24946,748,2494,126476,2/10/2024,Online
S010,O010,P047,2,46684,1726,4668,96310,2/11/2024,Store
S011,O011,P047,3,32561,567,3256,100372,2/12/2024,Online
S012,O012,P040,4,21018,3612,2101,82561,2/13/2024,Online
S013,O013,P017,4,24964,4104,2496,98248,2/14/2024,Online
S014,O014,P033,3,29233,699,2923,89923,2/15/2024,Store
S015,O015,P041,2,24916,1604,2491,50719,2/16/2024,Store
S016,O016,P045,1,55112,4631,5511,55992,2/17/2024,Online
S017,O017,P017,3,39465,4142,3946,118199,2/18/2024,Online
S018,O018,P042,5,68898,1011,6889,350368,2/19/2024,Online
S019,O019,P025,5,11269,3191,1126,54280,2/20/2024,Online
S020,O020,P015,2,42091,2396,4209,85995,2/21/2024,Store
S021,O021,P011,2,58727,2589,5872,120737,2/22/2024,Store
S022,O022,P009,3,43209,2028,4320,131919,2/23/2024,Online
S023,O023,P048,5,40053,2193,4005,202077,2/24/2024,Store
S024,O024,P019,5,11505,2971,1150,55704,2/25/2024,Online
S025,O025,P028,3,25936,2628,2593,77773,2/26/2024,Store
S026,O026,P027,1,53077,3097,5307,55287,2/27/2024,Store
S027,O027,P040,2,41880,3792,4188,84156,2/28/2024,Online
S028,O028,P031,5,58774,2219,5877,297528,2/29/2024,Store
S029,O029,P011,4,68083,4386,6808,274754,3/1/2024,Store
S030,O030,P015,3,38330,139,3833,118684,3/2/2024,Store
S031,O031,P050,1,4338,2555,433,2216,3/3/2024,Store
S032,O032,P043,5,7517,673,751,37663,3/4/2024,Online
S033,O033,P021,2,68022,3710,6802,139136,3/5/2024,Store
S034,O034,P022,5,54116,347,5411,275644,3/6/2024,Store
S035,O035,P018,5,10483,3496,1048,49967,3/7/2024,Online
S036,O036,P047,5,25284,3469,2528,125479,3/8/2024,Online
S037,O037,P009,2,61101,4923,6110,123389,3/9/2024,Online
S038,O038,P042,5,47370,2143,4737,239444,3/10/2024,Online
S039,O039,P045,3,28246,4761,2824,82801,3/11/2024,Online
S040,O040,P036,2,15736,3923,1573,29122,3/12/2024,Online
S041,O041,P011,5,18723,1072,1872,94415,3/13/2024,Store
S042,O042,P021,5,34999,3649,3499,174845,3/14/2024,Online
S043,O043,P038,3,39495,4186,3949,118248,3/15/2024,Store
S044,O044,P018,2,31245,3325,3124,62289,3/16/2024,Online
S045,O045,P038,3,34312,2704,3431,103663,3/17/2024,Store
S046,O046,P005,2,53351,2879,5335,109158,3/18/2024,Store
S047,O047,P043,3,31579,3341,3157,94553,3/19/2024,Store
S048,O048,P021,1,12601,160,1260,13701,3/20/2024,Online
S049,O049,P016,3,50528,25,5052,156611,3/21/2024,Online
S050,O050,P022,3,11377,1803,1137,33465,3/22/2024,Store
